Num_Acc,catv,obs,obsm,choc,manv,num_veh
200900000001,13,0,1,2,1,A01
200900000002,7,0,2,2,1,B02
200900000002,7,0,2,5,13,A01
200900000003,10,0,2,2,15,A01
200900000003,33,0,2,8,1,B02
200900000004,7,13,0,1,14,A01
200900000005,7,0,1,0,21,A01
200900000006,10,8,0,9,17,A01
200900000007,7,2,0,7,1,A01
200900000008,10,0,1,2,0,A01
200900000009,10,0,2,1,1,B02
200900000009,10,0,2,1,10,A01
200900000010,7,13,0,3,1,A01
200900000011,1,12,2,8,1,B02
200900000011,14,0,9,2,12,A01
200900000012,10,13,0,1,1,A01
200900000013,7,13,0,3,17,A01
200900000014,33,0,1,1,1,A01
200900000015,99,0,1,1,1,A01
200900000016,7,0,2,3,13,A01
200900000016,14,0,2,3,1,B02
200900000017,31,0,2,1,1,B02
200900000017,7,0,2,1,19,A01
200900000018,7,8,0,3,1,A01
200900000019,7,0,2,1,13,A01
200900000019,14,0,2,1,1,B02
200900000020,7,0,2,4,11,A01
200900000020,32,0,2,1,17,B01
200900000021,7,0,2,5,1,B01
200900000021,7,0,2,2,1,A01
200900000022,7,0,2,1,2,A01
200900000022,10,0,2,4,2,B01
200900000023,31,0,2,1,1,B01
200900000023,7,0,2,2,9,A01
200900000024,32,0,2,1,1,B01
200900000024,10,0,2,2,15,A01
200900000025,32,0,2,1,1,A01
200900000025,1,0,2,0,19,Z01
200900000026,33,1,2,7,17,B01
200900000026,7,0,2,8,11,A01
200900000027,32,12,0,8,13,A01
200900000028,7,0,2,2,1,A01
200900000028,30,0,2,1,1,B01
200900000029,2,0,1,1,1,A01
200900000030,7,0,2,4,4,A01
200900000030,7,0,2,6,1,B01
200900000031,7,4,0,2,14,A01
200900000032,30,0,2,2,16,A01
200900000032,7,0,2,3,1,B01
200900000033,7,0,2,3,15,B01
200900000033,32,0,2,1,1,A01
200900000034,33,0,2,4,2,B01
200900000034,31,0,2,1,2,A01
200900000035,7,0,2,2,1,A01
200900000035,7,0,2,0,7,B01
200900000036,30,0,2,7,17,A01
200900000036,7,0,2,3,15,B01
200900000037,30,0,2,4,2,B01
200900000037,30,0,2,1,2,A01
200900000038,2,0,0,0,1,A01
200900000039,10,0,2,3,22,A01
200900000039,1,0,2,1,1,B01
200900000040,1,0,2,4,16,A01
200900000040,33,0,2,7,1,B01
200900000041,7,0,1,2,15,A01
200900000042,7,0,2,3,10,A01
200900000042,2,0,2,1,10,B01
200900000043,7,0,2,3,15,A01
200900000043,2,0,2,2,17,B01
200900000044,30,0,1,2,1,A01
200900000045,32,0,0,0,17,A01
200900000046,7,0,2,2,15,A01
200900000046,7,0,2,3,7,B01
200900000047,7,0,1,3,15,A01
200900000048,31,0,0,0,1,A01
200900000049,32,0,1,3,1,A01
200900000050,7,0,2,3,9,A01
200900000050,2,0,2,7,1,B01
200900000051,31,0,0,7,21,A01
200900000052,7,0,2,2,20,B01
200900000052,2,0,2,3,18,A01
200900000053,32,0,0,7,1,A01
200900000054,1,0,0,0,21,A01
200900000055,7,0,1,4,4,A01
200900000056,7,0,2,6,2,B01
200900000056,30,0,2,1,2,A01
200900000057,7,0,1,3,7,A01
200900000058,7,0,2,8,15,B01
200900000058,32,0,2,7,17,A01
200900000059,7,0,2,0,9,Z01
200900000059,32,0,2,1,1,A01
200900000060,31,0,2,8,1,A01
200900000060,10,0,2,0,1,B01
200900000061,30,0,1,1,1,A01
200900000062,7,0,1,2,18,A01
200900000063,33,12,2,8,18,B01
200900000063,7,0,2,7,14,A01
200900000064,7,3,1,8,15,A01
200900000065,7,1,2,7,1,B01
200900000065,32,0,2,1,1,A01
200900000066,7,0,1,0,1,A01
200900000067,7,0,2,3,9,A01
200900000067,30,0,2,7,1,B01
200900000068,33,14,0,0,14,A01
200900000069,7,0,1,0,1,A01
200900000070,30,0,2,1,17,A01
200900000070,7,0,2,4,15,B01
200900000071,10,0,2,1,2,A01
200900000071,7,0,2,4,23,B01
200900000072,7,0,2,8,10,B01
200900000072,32,0,2,7,17,A01
200900000073,30,0,2,1,1,A01
200900000073,7,0,2,0,13,Z01
200900000074,33,0,0,0,1,A01
200900000075,7,0,2,4,23,A01
200900000075,30,0,2,1,2,B01
200900000076,7,0,1,3,1,A01
200900000077,7,0,2,2,12,A01
200900000077,30,0,2,1,1,B01
200900000078,7,0,1,8,20,A01
200900000079,31,0,1,1,1,A01
200900000080,7,0,1,1,16,A01
200900000081,7,0,2,7,15,B01
200900000081,2,0,2,1,1,A01
200900000082,33,0,1,1,1,A01
200900000083,30,0,0,0,1,A01
200900000084,10,0,1,5,16,A01
200900000085,7,0,1,1,15,A01
200900000086,7,0,2,8,13,A01
200900000086,32,0,2,2,5,B01
200900000087,7,0,1,0,0,Z01
200900000088,10,0,1,4,4,A01
200900000089,32,0,0,0,1,A01
200900000090,31,0,0,8,17,A01
200900000091,2,14,0,3,21,A01
200900000092,7,0,2,1,15,Z01
200900000092,30,0,2,1,1,A01
200900000093,33,0,2,1,1,B01
200900000093,2,0,4,5,16,A01
200900000094,7,0,2,1,2,A01
200900000094,7,0,2,4,23,B01
200900000095,7,0,1,2,7,A01
200900000096,14,8,2,8,2,B01
200900000096,32,15,2,7,17,A01
200900000097,7,0,2,5,23,B01
200900000097,7,14,2,3,2,A01
200900000098,30,0,0,1,1,A01
200900000099,32,1,0,7,14,A01
200900000100,31,0,0,2,21,A01
200900000101,7,0,1,2,1,A01
200900000102,30,0,2,3,1,B01
200900000102,7,0,2,2,11,A01
200900000103,7,0,2,1,1,A01
200900000103,32,0,2,3,1,B01
200900000104,7,0,1,5,4,A01
200900000105,32,0,2,1,1,D01
200900000105,31,0,2,8,1,B01
200900000105,7,0,2,5,12,A01
200900000105,7,0,2,5,14,C01
200900000106,33,0,2,1,1,B01
200900000106,7,0,2,3,9,A01
200900000107,7,0,2,3,15,A01
200900000107,2,0,2,2,1,B01
200900000108,33,0,2,4,2,B01
200900000108,7,0,2,2,2,A01
200900000109,30,0,2,1,2,A01
200900000109,10,0,2,4,2,B01
